account_id,account_name,industry,region,segment,employee_count,created_date
ACC-10000,Manufacturing Client 1,Manufacturing,Midwest,SMB,58,2022-05-28
ACC-10001,Logistics Client 2,Logistics,West,SMB,81,2022-02-13
ACC-10002,Logistics Client 3,Logistics,Southeast,Mid-Market,481,2023-06-29
ACC-10003,Finance Client 4,Finance,West,SMB,25,2024-08-29
ACC-10004,Software Client 5,Software,Northeast,Mid-Market,1152,2022-05-14
ACC-10005,Logistics Client 6,Logistics,Northeast,SMB,44,2025-01-10
ACC-10006,Real Estate Client 7,Real Estate,Southeast,Mid-Market,80,2022-08-03
ACC-10007,Logistics Client 8,Logistics,Southeast,Mid-Market,478,2022-08-29
ACC-10008,Healthcare Client 9,Healthcare,West,Mid-Market,1167,2022-12-23
ACC-10009,Education Client 10,Education,Southeast,SMB,62,2023-06-09
ACC-10010,Manufacturing Client 11,Manufacturing,Midwest,Mid-Market,372,2023-01-30
ACC-10011,Retail Client 12,Retail,Southeast,Mid-Market,131,2022-03-15
ACC-10012,Real Estate Client 13,Real Estate,Southeast,SMB,210,2024-05-13
ACC-10013,Logistics Client 14,Logistics,Southeast,Enterprise,2338,2023-06-06
ACC-10014,Education Client 15,Education,Northeast,SMB,65,2023-10-13
ACC-10015,Logistics Client 16,Logistics,Northeast,SMB,58,2022-09-06
ACC-10016,Software Client 17,Software,West,Enterprise,1501,2023-02-14
ACC-10017,Education Client 18,Education,Southeast,Mid-Market,84,2023-01-18
ACC-10018,Finance Client 19,Finance,Southeast,SMB,133,2024-06-17
ACC-10019,Finance Client 20,Finance,Midwest,Mid-Market,379,2022-03-07
ACC-10020,Retail Client 21,Retail,Midwest,Enterprise,1607,2022-12-29
ACC-10021,Retail Client 22,Retail,Southeast,SMB,131,2025-01-28
ACC-10022,Real Estate Client 23,Real Estate,Southeast,Mid-Market,493,2024-05-27
ACC-10023,Finance Client 24,Finance,Midwest,Mid-Market,343,2023-04-17
ACC-10024,Manufacturing Client 25,Manufacturing,West,Mid-Market,510,2022-03-21
ACC-10025,Healthcare Client 26,Healthcare,Southeast,SMB,81,2023-05-02
ACC-10026,Healthcare Client 27,Healthcare,Southwest,Mid-Market,110,2022-07-21
ACC-10027,Retail Client 28,Retail,Southeast,Mid-Market,441,2022-02-22
ACC-10028,Healthcare Client 29,Healthcare,Northeast,SMB,103,2024-07-14
ACC-10029,Healthcare Client 30,Healthcare,Southwest,Enterprise,628,2022-10-05
ACC-10030,Finance Client 31,Finance,Southwest,Mid-Market,216,2024-12-02
ACC-10031,Education Client 32,Education,Midwest,Enterprise,891,2022-06-07
ACC-10032,Logistics Client 33,Logistics,Southwest,SMB,102,2023-06-11
ACC-10033,Finance Client 34,Finance,Midwest,Enterprise,1231,2023-06-27
ACC-10034,Manufacturing Client 35,Manufacturing,Midwest,Mid-Market,313,2023-11-09
ACC-10035,Software Client 36,Software,Northeast,SMB,162,2024-04-09
ACC-10036,Real Estate Client 37,Real Estate,Midwest,SMB,31,2022-12-22
ACC-10037,Education Client 38,Education,Northeast,SMB,76,2024-12-26
ACC-10038,Real Estate Client 39,Real Estate,Southwest,Enterprise,3793,2024-03-17
ACC-10039,Real Estate Client 40,Real Estate,Midwest,Mid-Market,401,2025-01-28
ACC-10040,Healthcare Client 41,Healthcare,Southeast,Mid-Market,670,2022-03-18
ACC-10041,Logistics Client 42,Logistics,Southeast,SMB,64,2022-12-17
ACC-10042,Finance Client 43,Finance,West,Mid-Market,186,2022-10-31
ACC-10043,Retail Client 44,Retail,Northeast,Enterprise,1427,2022-02-09
ACC-10044,Real Estate Client 45,Real Estate,West,Mid-Market,180,2024-08-22
ACC-10045,Education Client 46,Education,Southwest,SMB,39,2024-11-24
ACC-10046,Manufacturing Client 47,Manufacturing,West,SMB,66,2024-07-21
ACC-10047,Education Client 48,Education,Southwest,Enterprise,280,2022-05-17
ACC-10048,Software Client 49,Software,West,SMB,56,2022-01-07
ACC-10049,Finance Client 50,Finance,Midwest,SMB,59,2022-04-21
