opportunity_id,account_id,created_date,expected_close_date,sales_rep,region,industry,segment,lead_source,stage,amount,probability,sales_cycle_days,weighted_pipeline
OPP-200000,ACC-11082,2025-03-20,2025-03-23,Rep 10,Midwest,Real Estate,SMB,Event,Proposal,6000,0.56,3,3360.0
OPP-200001,ACC-15905,2025-01-02,2025-02-11,Rep 25,Southeast,Education,SMB,Inbound,Closed Lost,8000,0.0,40,0.0
OPP-200002,ACC-10582,2023-09-25,2023-10-06,Rep 26,Southwest,Healthcare,SMB,Event,Negotiation,13500,0.72,11,9720.0
OPP-200003,ACC-11397,2024-05-08,2024-08-08,Rep 19,West,Logistics,Enterprise,Inbound,Lead,163000,0.08,92,13040.0
OPP-200004,ACC-11178,2025-06-14,2025-07-19,Rep 17,Southeast,Software,SMB,Outbound,Closed Won,2300,1.0,35,2300.0
OPP-200005,ACC-13077,2023-11-26,2024-02-18,Rep 27,Northeast,Retail,Enterprise,Outbound,Closed Won,101100,1.0,84,101100.0
OPP-200006,ACC-12380,2024-12-08,2025-03-15,Rep 13,Southwest,Manufacturing,Mid-Market,Partner,Proposal,35100,0.56,97,19656.0
OPP-200007,ACC-11713,2025-01-14,2025-04-05,Rep 12,Southwest,Real Estate,Mid-Market,Inbound,Closed Won,30700,1.0,81,30700.0
OPP-200008,ACC-14618,2023-05-29,2023-07-07,Rep 42,Southeast,Real Estate,SMB,Outbound,Demo,6000,0.38,39,2280.0
OPP-200009,ACC-15474,2025-01-22,2025-02-22,Rep 22,Northeast,Education,SMB,Referral,Closed Lost,9800,0.0,31,0.0
OPP-200010,ACC-10102,2023-01-24,2023-03-15,Rep 24,Midwest,Manufacturing,Enterprise,Inbound,Qualified,96400,0.22,50,21208.0
OPP-200011,ACC-14532,2023-11-09,2024-02-14,Rep 42,Midwest,Retail,Enterprise,Inbound,Proposal,295500,0.56,97,165480.0
OPP-200012,ACC-13410,2024-01-27,2024-03-04,Rep 30,Southwest,Healthcare,SMB,Partner,Lead,8100,0.08,37,648.0
OPP-200013,ACC-12432,2025-01-24,2025-02-25,Rep 34,Southwest,Real Estate,SMB,Partner,Negotiation,13900,0.72,32,10008.0
OPP-200014,ACC-15072,2025-06-04,2025-07-15,Rep 34,Southeast,Logistics,SMB,Outbound,Closed Won,3400,1.0,41,3400.0
OPP-200015,ACC-15015,2025-04-29,2025-06-09,Rep 19,Northeast,Logistics,SMB,Event,Qualified,6900,0.22,41,1518.0
OPP-200016,ACC-15441,2024-05-27,2024-05-31,Rep 36,Southwest,Software,SMB,Outbound,Proposal,3400,0.56,4,1904.0
OPP-200017,ACC-12160,2025-05-12,2025-07-25,Rep 1,West,Real Estate,Enterprise,Outbound,Qualified,95400,0.22,74,20988.0
OPP-200018,ACC-11262,2025-02-09,2025-04-13,Rep 24,West,Logistics,Mid-Market,Partner,Qualified,40600,0.22,63,8932.0
OPP-200019,ACC-14365,2024-08-14,2024-09-09,Rep 22,Southwest,Finance,Mid-Market,Outbound,Closed Won,26700,1.0,26,26700.0
OPP-200020,ACC-10445,2023-09-26,2023-11-04,Rep 31,West,Logistics,SMB,Partner,Closed Won,7700,1.0,39,7700.0
OPP-200021,ACC-14063,2023-10-21,2023-11-23,Rep 12,Southeast,Finance,SMB,Referral,Negotiation,15700,0.72,33,11304.0
OPP-200022,ACC-11405,2023-01-08,2023-02-08,Rep 2,Northeast,Logistics,SMB,Outbound,Proposal,14800,0.56,31,8288.0
OPP-200023,ACC-15185,2023-05-11,2023-08-01,Rep 35,Midwest,Retail,Mid-Market,Inbound,Closed Lost,121300,0.0,82,0.0
OPP-200024,ACC-12646,2024-08-06,2024-10-10,Rep 10,Southeast,Logistics,Mid-Market,Outbound,Lead,13300,0.08,65,1064.0
OPP-200025,ACC-13029,2023-08-18,2023-10-06,Rep 20,Southwest,Healthcare,Mid-Market,Partner,Proposal,29400,0.56,49,16464.0
OPP-200026,ACC-13933,2025-03-28,2025-05-04,Rep 15,Northeast,Retail,Mid-Market,Event,Closed Lost,63600,0.0,37,0.0
OPP-200027,ACC-14830,2024-11-08,2024-12-13,Rep 29,West,Real Estate,SMB,Inbound,Qualified,16500,0.22,35,3630.0
