activity_id,opportunity_id,activity_type,activity_date,status,owner
TASK-300000,OPP-214148,Call,2023-08-04,Completed,Rep 14
TASK-300001,OPP-219776,Demo,2025-03-30,Blocked,Rep 5
TASK-300002,OPP-240753,Call,2023-04-05,Open,Rep 19
TASK-300003,OPP-218448,Call,2023-04-06,Completed,Rep 37
TASK-300004,OPP-225233,Email,2024-05-04,Open,Rep 16
TASK-300005,OPP-205307,Contract Review,2023-06-03,Completed,Rep 38
TASK-300006,OPP-228507,Demo,2023-04-20,Completed,Rep 14
TASK-300007,OPP-216322,Email,2025-05-04,Open,Rep 7
TASK-300008,OPP-238302,Call,2024-09-01,Completed,Rep 16
TASK-300009,OPP-239767,Proposal Sent,2023-07-18,Completed,Rep 3
TASK-300010,OPP-245376,Email,2024-08-07,Completed,Rep 39
TASK-300011,OPP-229475,Proposal Sent,2024-12-21,Blocked,Rep 14
TASK-300012,OPP-244927,Call,2023-07-30,Completed,Rep 9
TASK-300013,OPP-200379,Call,2023-12-08,Completed,Rep 2
TASK-300014,OPP-229131,Contract Review,2025-02-24,Completed,Rep 26
TASK-300015,OPP-242351,Call,2023-12-09,Completed,Rep 30
TASK-300016,OPP-248674,Email,2025-06-30,Completed,Rep 33
TASK-300017,OPP-225419,Email,2023-03-30,Completed,Rep 11
TASK-300018,OPP-200706,Call,2025-03-20,Completed,Rep 41
TASK-300019,OPP-244917,Contract Review,2023-05-18,Blocked,Rep 23
TASK-300020,OPP-232900,Contract Review,2025-06-17,Completed,Rep 31
TASK-300021,OPP-223332,Follow-up,2024-09-22,Completed,Rep 13
TASK-300022,OPP-210480,Email,2025-04-22,Completed,Rep 32
TASK-300023,OPP-225461,Follow-up,2023-07-21,Open,Rep 37
TASK-300024,OPP-224268,Email,2024-11-01,Completed,Rep 9
TASK-300025,OPP-245784,Demo,2023-06-23,Blocked,Rep 24
TASK-300026,OPP-210927,Call,2024-06-17,Completed,Rep 22
